p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
0,0.24445376959469467,0.901,0.828,0,GPC6
0,1.434688105282652,0.138,0.008,0,GPRIN3
0,-0.6109672401487479,0.463,0.614,0,GRTP1
0,-0.5379803079533447,0.573,0.688,0,GSE1
0,0.7732810170289928,0.103,0.024,0,H2AFY2
0,2.1525316887941592,0.33,0.027,0,HKDC1
0,-0.9133957923843425,0.066,0.192,0,HORMAD2-AS1
0,-0.32593188328328915,0.893,0.927,0,HPN
0,-0.9776894810424114,0.214,0.353,0,HS6ST1
0,-0.43959691944842,0.57,0.701,0,HSD17B6
0,-0.7804435483026912,0.23,0.391,0,HSD17B7
0,1.5495292451963356,0.138,0.001,0,IGF2BP2
0,0.5604505926177045,0.471,0.308,0,IGFBP1
0,1.1539549629923789,0.231,0.058,0,IL32
0,0.8072106926291533,0.261,0.122,0,ITGAV
0,0.4773153323136054,0.503,0.344,0,ITGB1
0,-0.2357597763003989,0.887,0.923,0,ITPR2
0,0.5683518566639152,0.547,0.358,0,JAZF1
0,-0.7963529460979972,0.066,0.167,0,KCNK5
0,-0.5731207228491868,0.518,0.639,0,KDM4B
0,0.6315505467032061,0.426,0.251,0,KLF6
0,0.6751641545338811,0.376,0.211,0,KLHL29
0,0.4112774000789258,0.725,0.572,0,KYNU
0,-0.7746692240660767,0.382,0.562,0,LDLR
0,0.9380162205923259,0.458,0.246,0,LEAP2
0,1.0542342912112872,0.646,0.392,0,LEPR
0,0.8042392841105728,0.686,0.404,0,LIMCH1
0,-0.704786462814023,0.27,0.458,0,LINC00598
0,-1.1325047512936337,0.142,0.362,0,LINC01482
0,1.8977511639041311,0.316,0.042,0,LINC01595
0,0.5232707892061988,0.535,0.355,0,LINC02197
0,-0.8113673466541902,0.404,0.619,0,LPA
0,0.217945484920953,0.935,0.858,0,LPP
0,-0.8546059737108396,0.207,0.372,0,LRP1B
0,-0.6468243166106286,0.585,0.706,0,LRP5
0,1.1817562541123179,0.117,0.007,0,LRRC1
0,0.603729877038539,0.424,0.256,0,LTBP1
0,0.13616584701786794,0.999,0.998,0,MALAT1
0,1.6934561924063265,0.157,0.005,0,MAML2
0,0.6876810437624155,0.264,0.137,0,MAPRE2
0,0.6665250505500501,0.763,0.551,0,MAST4
0,0.3830393856057229,0.67,0.494,0,MBD5
0,1.51535379273033,0.171,0.009,0,MCTP2
0,2.077435244916178,0.251,0.007,0,MIR4435-2HG
0,-0.4316803635345521,0.887,0.951,0,MLXIPL
0,-1.0596178031167698,0.068,0.207,0,MT1H
0,0.9145600097916895,0.217,0.078,0,NABP1
0,0.4709809923690085,0.745,0.559,0,NCKAP5
0,-0.13822232970299364,0.999,0.999,0,NEAT1
0,1.1061359797520718,0.157,0.036,0,NEBL
0,0.5644687094645078,0.568,0.373,0,NEDD4
0,0.8673996848315451,0.654,0.367,0,NEDD4L
0,-0.5123215539792714,0.691,0.825,0,NFIC
0,0.6788757607664482,0.45,0.277,0,NRG1
0,1.2695101518102339,0.135,0.01,0,NRG2
0,-0.9937430922862087,0.08,0.19,0,NXN
0,-0.916540317519654,0.043,0.14,0,OAT
0,1.0999614585630433,0.213,0.056,0,PAG1
0,0.3277112778744421,0.769,0.638,0,PARD3B
0,0.519165132050492,0.541,0.364,0,PAWR
0,0.5405461012240279,0.443,0.287,0,PCAT1
0,1.3537436273228631,0.305,0.076,0,PCSK5
0,0.44774732756883395,0.651,0.468,0,PDE4D
